,Unnamed: 0,title,genre,rating,views,year,duration
0,368,The Birth of a Nation,Drama,6.1,27995,1915,195
1,670,Intolerance,Drama,7.7,17748,1916,163
2,1235,Broken Blossoms,Drama,7.2,11679,1919,90
3,1317,The Cabinet of Dr. Caligari,Horror,8.0,75296,1920,67
4,1770,The Kid,Comedy,8.2,144170,1921,68
5,1775,The Phantom Carriage,Drama,8.0,15501,1921,107
6,1969,Häxan,Documentary,7.6,18839,1922,91
7,2012,Nanook of the North,Documentary,7.6,14245,1922,78
8,2018,Nosferatu: A Symphony of Horror,Fantasy,7.8,122075,1922,94
9,2247,Our Hospitality,Comedy,7.7,13361,1923,65
10,2270,Safety Last!,Action,8.1,24514,1923,74
11,2440,The Last Laugh,Drama,8.0,16314,1924,90
12,2465,The Navigator,Action,7.5,11924,1924,59
13,2515,Sherlock Jr.,Action,8.1,64494,1924,45
14,2599,Battleship Potemkin,Drama,7.9,64511,1925,66
15,2666,The Gold Rush,Adventure,8.1,126916,1925,95
16,2672,Greed,Drama,8.0,11466,1924,140
17,2765,The Phantom of the Opera,Horror,7.5,21952,1925,93
18,2798,Seven Chances,Comedy,7.8,12878,1925,56
19,2969,Faust,Drama,8.1,18024,1926,107
20,3054,The Lodger: A Story of the London Fog,Crime,7.3,14744,1927,92
21,3083,Metropolis,Drama,8.2,198883,1927,153
22,3357,The General,Action,8.1,105041,1926,78
23,3395,The Jazz Singer,Drama,6.4,11781,1927,88
24,3532,Sunrise,Drama,8.1,56218,1927,94
25,3564,The Unknown,Drama,7.7,10139,1927,68
26,3580,Wings,Action,7.5,15932,1927,144
27,3644,Pandora's Box,Crime,7.7,12764,1929,109
28,3648,The Cameraman,Comedy,8.0,14329,1928,76
29,3664,The Circus,Comedy,8.1,38144,1928,72
30,3829,The Passion of Joan of Arc,Biography,8.1,67217,1928,114
31,3897,"Steamboat Bill, Jr.",Action,7.8,17294,1928,70
32,4013,Blackmail,Crime,6.9,13297,1929,85
33,4036,Man with a Movie Camera,Documentary,8.3,29900,1929,68
34,4428,All Quiet on the Western Front,Drama,8.1,71312,1930,152
35,4433,Animal Crackers,Comedy,7.4,15947,1930,97
36,4467,The Blue Angel,Drama,7.6,17408,1930,104
37,4676,Little Caesar,Action,7.2,15514,1931,79
38,4951,L'Age d'Or,Comedy,7.2,15546,1930,63
39,5036,City Lights,Comedy,8.5,214454,1931,87
40,5069,Dracula,Drama,7.3,64042,1931,75
41,5113,Frankenstein,Drama,7.7,86745,1931,70
42,5238,M,Crime,8.3,181011,1931,99
43,5274,Monkey Business,Comedy,7.4,14862,1931,77
44,5344,The Public Enemy,Crime,7.6,24499,1931,83
45,5645,Dr. Jekyll and Mr. Hyde,Horror,7.6,17474,1931,98
46,5691,Freaks,Drama,7.8,54140,1932,64
47,5715,Grand Hotel,Drama,7.3,22278,1932,112
48,5758,Horse Feathers,Comedy,7.5,13997,1932,68
49,5768,I Am a Fugitive from a Chain Gang,Crime,8.2,15418,1932,92
50,5884,The Most Dangerous Game,Action,7.1,15239,1932,63
51,5888,The Mummy,Fantasy,6.9,32888,1932,73
52,5915,The Old Dark House,Adventure,7.0,14540,1932,72
53,5992,Scarface,Action,7.7,32862,1932,93
54,6005,Shanghai Express,Adventure,7.3,11577,1932,82
55,6068,The Testament of Dr. Mabuse,Crime,7.9,14416,1933,122
56,6100,Trouble in Paradise,Comedy,7.9,17225,1932,83
57,6116,Vampyr,Fantasy,7.4,22487,1932,75
58,6145,White Zombie,Horror,6.2,12557,1932,69
59,6294,Duck Soup,Comedy,7.7,64956,1933,69
60,6337,42nd Street,Comedy,7.3,13707,1933,89
61,6424,The Invisible Man,Horror,7.6,43539,1933,71
62,6426,Island of Lost Souls,Film-Noir,7.3,12100,1932,70
63,6445,King Kong,Adventure,7.9,95079,1933,100
64,6658,Sons of the Desert,Comedy,7.5,10251,1933,68
65,6793,L'Atalante,Adventure,7.7,18464,1934,89
66,6821,The Black Cat,Crime,6.9,14286,1934,65
67,7075,It Happened One Night,Comedy,8.1,118645,1934,105
